Vuosineljannes,Alue,Talotyyppi,Huoneluku,Indeksi,Kauppojen lukumäärä
2015Q1,Helsinki,Kerrostalot,Yksiot,100,20
2015Q1,Helsinki,Kerrostalot,Kaksiot,104.1,50
2015Q1,Helsinki,Kerrostalot,Kolmiot+,96.7,65
2015Q1,Espoo-Kauniainen,Kerrostalot,Yksiot,92.3,3
2015Q1,Espoo-Kauniainen,Kerrostalot,Kaksiot,92.4,23
2015Q1,Espoo-Kauniainen,Kerrostalot,Kolmiot+,102.4,50
2015Q1,Vantaa,Kerrostalot,Yksiot,102.2,25
2015Q1,Vantaa,Kerrostalot,Kaksiot,101.8,39
2015Q1,Vantaa,Kerrostalot,Kolmiot+,101.6,35
2015Q2,Helsinki,Kerrostalot,Yksiot,102.6,34
2015Q2,Helsinki,Kerrostalot,Kaksiot,102.3,80
2015Q2,Helsinki,Kerrostalot,Kolmiot+,100.7,128
2015Q2,Espoo-Kauniainen,Kerrostalot,Yksiot,92,16
2015Q2,Espoo-Kauniainen,Kerrostalot,Kaksiot,91.7,48
2015Q2,Espoo-Kauniainen,Kerrostalot,Kolmiot+,97.6,29
2015Q2,Vantaa,Kerrostalot,Yksiot,98.3,12
2015Q2,Vantaa,Kerrostalot,Kaksiot,98.7,50
2015Q2,Vantaa,Kerrostalot,Kolmiot+,99.4,28
2015Q3,Helsinki,Kerrostalot,Yksiot,95.4,14
2015Q3,Helsinki,Kerrostalot,Kaksiot,95.3,42
2015Q3,Helsinki,Kerrostalot,Kolmiot+,100.1,67
2015Q3,Espoo-Kauniainen,Kerrostalot,Yksiot,106.1,13
2015Q3,Espoo-Kauniainen,Kerrostalot,Kaksiot,105.1,25
2015Q3,Espoo-Kauniainen,Kerrostalot,Kolmiot+,101.9,52
2015Q3,Vantaa,Kerrostalot,Yksiot,101.1,25
2015Q3,Vantaa,Kerrostalot,Kaksiot,98.1,32
2015Q3,Vantaa,Kerrostalot,Kolmiot+,96.2,44
2015Q4,Helsinki,Kerrostalot,Yksiot,96.6,46
2015Q4,Helsinki,Kerrostalot,Kaksiot,98.6,72
2015Q4,Helsinki,Kerrostalot,Kolmiot+,102.6,98
2015Q4,Espoo-Kauniainen,Kerrostalot,Yksiot,98.3,3
2015Q4,Espoo-Kauniainen,Kerrostalot,Kaksiot,99.5,18
2015Q4,Espoo-Kauniainen,Kerrostalot,Kolmiot+,98.1,41
2015Q4,Vantaa,Kerrostalot,Yksiot,101.1,17
2015Q4,Vantaa,Kerrostalot,Kaksiot,101.4,26
2015Q4,Vantaa,Kerrostalot,Kolmiot+,102.8,36
2016Q1,Helsinki,Kerrostalot,Yksiot,107.9,27
2016Q1,Helsinki,Kerrostalot,Kaksiot,102.1,75
2016Q1,Helsinki,Kerrostalot,Kolmiot+,101.1,80
2016Q1,Espoo-Kauniainen,Kerrostalot,Yksiot,1002.3,14
2016Q1,Espoo-Kauniainen,Kerrostalot,Kaksiot,115.2,28
2016Q1,Espoo-Kauniainen,Kerrostalot,Kolmiot+,101.5,35
2016Q1,Vantaa,Kerrostalot,Yksiot,102.3,30
2016Q1,Vantaa,Kerrostalot,Kaksiot,100.7,27
2016Q1,Vantaa,Kerrostalot,Kolmiot+,99.2,23
2016Q2,Helsinki,Kerrostalot,Yksiot,101.3,55
2016Q2,Helsinki,Kerrostalot,Kaksiot,100.6,84
2016Q2,Helsinki,Kerrostalot,Kolmiot+,98.7,111
2016Q2,Espoo-Kauniainen,Kerrostalot,Yksiot,112.3,26
2016Q2,Espoo-Kauniainen,Kerrostalot,Kaksiot,105.3,38
2016Q2,Espoo-Kauniainen,Kerrostalot,Kolmiot+,100.0,52
2016Q2,Vantaa,Kerrostalot,Yksiot,102.5,46
2016Q2,Vantaa,Kerrostalot,Kaksiot,100.7,58
2016Q2,Vantaa,Kerrostalot,Kolmiot+,98.5,45
2016Q3,Helsinki,Kerrostalot,Yksiot,98.5,40
2016Q3,Helsinki,Kerrostalot,Kaksiot,99.6,109
2016Q3,Helsinki,Kerrostalot,Kolmiot+,98.1,132
2016Q3,Espoo-Kauniainen,Kerrostalot,Yksiot,107.3,11
2016Q3,Espoo-Kauniainen,Kerrostalot,Kaksiot,105.9,45
2016Q3,Espoo-Kauniainen,Kerrostalot,Kolmiot+,109.6,37
2016Q3,Vantaa,Kerrostalot,Yksiot,101.4,55
2016Q3,Vantaa,Kerrostalot,Kaksiot,100.6,71
2016Q3,Vantaa,Kerrostalot,Kolmiot+,100.3,49
2016Q4,Helsinki,Kerrostalot,Yksiot,103.4,50
2016Q4,Helsinki,Kerrostalot,Kaksiot,101.9,124
2016Q4,Helsinki,Kerrostalot,Kolmiot+,95.5,134
2016Q4,Espoo-Kauniainen,Kerrostalot,Yksiot,110.2,103
2016Q4,Espoo-Kauniainen,Kerrostalot,Kaksiot,107.0,60
2016Q4,Espoo-Kauniainen,Kerrostalot,Kolmiot+,103.0,71
2016Q4,Vantaa,Kerrostalot,Yksiot,103.1,64
2016Q4,Vantaa,Kerrostalot,Kaksiot,99.8,74
2016Q4,Vantaa,Kerrostalot,Kolmiot+,99.9,59
2017Q1,Helsinki,Kerrostalot,Yksiot,105.8,32
2017Q1,Helsinki,Kerrostalot,Kaksiot,106.9,203
2017Q1,Helsinki,Kerrostalot,Kolmiot+,106.7,152
2017Q1,Espoo-Kauniainen,Kerrostalot,Yksiot,122.9,37
2017Q1,Espoo-Kauniainen,Kerrostalot,Kaksiot,111.3,100
2017Q1,Espoo-Kauniainen,Kerrostalot,Kolmiot+,100.0,63
2017Q1,Vantaa,Kerrostalot,Yksiot,107.5,99
2017Q1,Vantaa,Kerrostalot,Kaksiot,105.1,85
2017Q1,Vantaa,Kerrostalot,Kolmiot+,103.1,67
2017Q2,Helsinki,Kerrostalot,Yksiot,122.0,49
2017Q2,Helsinki,Kerrostalot,Kaksiot,112.4,145
2017Q2,Helsinki,Kerrostalot,Kolmiot+,110.3,133
2017Q2,Espoo-Kauniainen,Kerrostalot,Yksiot,121.2,45
2017Q2,Espoo-Kauniainen,Kerrostalot,Kaksiot,111.0,85
2017Q2,Espoo-Kauniainen,Kerrostalot,Kolmiot+,117.6,58
2017Q2,Vantaa,Kerrostalot,Yksiot,112.7,47
2017Q2,Vantaa,Kerrostalot,Kaksiot,105.8,72
2017Q2,Vantaa,Kerrostalot,Kolmiot+,103.6,54
2017Q3,Helsinki,Kerrostalot,Yksiot,106.6,39
2017Q3,Helsinki,Kerrostalot,Kaksiot,102.7,85
2017Q3,Helsinki,Kerrostalot,Kolmiot+,104.3,111
2017Q3,Espoo-Kauniainen,Kerrostalot,Yksiot,114.0,41
2017Q3,Espoo-Kauniainen,Kerrostalot,Kaksiot,105.7,93
2017Q3,Espoo-Kauniainen,Kerrostalot,Kolmiot+,99.5,55
2017Q3,Vantaa,Kerrostalot,Yksiot,103.4,127
2017Q3,Vantaa,Kerrostalot,Kaksiot,101.1,113
2017Q3,Vantaa,Kerrostalot,Kolmiot+,103.0,51
2017Q4,Helsinki,Kerrostalot,Yksiot,107.7,61
2017Q4,Helsinki,Kerrostalot,Kaksiot,106.5,115
2017Q4,Helsinki,Kerrostalot,Kolmiot+,103.0,175
2017Q4,Espoo-Kauniainen,Kerrostalot,Yksiot,117.7,223
2017Q4,Espoo-Kauniainen,Kerrostalot,Kaksiot,110.5,110
2017Q4,Espoo-Kauniainen,Kerrostalot,Kolmiot+,106.2,99
2017Q4,Vantaa,Kerrostalot,Yksiot,105.0,71
2017Q4,Vantaa,Kerrostalot,Kaksiot,103.4,114
2017Q4,Vantaa,Kerrostalot,Kolmiot+,97.2,78
2018Q1,Helsinki,Kerrostalot,Yksiot,106.1,57
2018Q1,Helsinki,Kerrostalot,Kaksiot,102.3,185
2018Q1,Helsinki,Kerrostalot,Kolmiot+,106.1,153
2018Q1,Espoo-Kauniainen,Kerrostalot,Yksiot,122.5,40
2018Q1,Espoo-Kauniainen,Kerrostalot,Kaksiot,113.7,66
2018Q1,Espoo-Kauniainen,Kerrostalot,Kolmiot+,113.0,55
2018Q1,Vantaa,Kerrostalot,Yksiot,105.5,82
2018Q1,Vantaa,Kerrostalot,Kaksiot,106.7,85
2018Q1,Vantaa,Kerrostalot,Kolmiot+,102.8,74
2018Q2,Helsinki,Kerrostalot,Yksiot,105.9,57
2018Q2,Helsinki,Kerrostalot,Kaksiot,104.7,129
2018Q2,Helsinki,Kerrostalot,Kolmiot+,106.8,126
2018Q2,Espoo-Kauniainen,Kerrostalot,Yksiot,117.8,77
2018Q2,Espoo-Kauniainen,Kerrostalot,Kaksiot,114.4,84
2018Q2,Espoo-Kauniainen,Kerrostalot,Kolmiot+,118.7,68
2018Q2,Vantaa,Kerrostalot,Yksiot,106.7,65
2018Q2,Vantaa,Kerrostalot,Kaksiot,103.7,83
2018Q2,Vantaa,Kerrostalot,Kolmiot+,103.6,52
2018Q3,Helsinki,Kerrostalot,Yksiot,112.5,53
2018Q3,Helsinki,Kerrostalot,Kaksiot,105.9,93
2018Q3,Helsinki,Kerrostalot,Kolmiot+,112.6,128
2018Q3,Espoo-Kauniainen,Kerrostalot,Yksiot,123.8,104
2018Q3,Espoo-Kauniainen,Kerrostalot,Kaksiot,113.6,79
2018Q3,Espoo-Kauniainen,Kerrostalot,Kolmiot+,111.2,67
2018Q3,Vantaa,Kerrostalot,Yksiot,104.4,115
2018Q3,Vantaa,Kerrostalot,Kaksiot,103.9,86
2018Q3,Vantaa,Kerrostalot,Kolmiot+,101.8,57
2018Q4,Helsinki,Kerrostalot,Yksiot,103.6,79
2018Q4,Helsinki,Kerrostalot,Kaksiot,105.3,121
2018Q4,Helsinki,Kerrostalot,Kolmiot+,108.4,144
2018Q4,Espoo-Kauniainen,Kerrostalot,Yksiot,116.2,61
2018Q4,Espoo-Kauniainen,Kerrostalot,Kaksiot,120.2,67
2018Q4,Espoo-Kauniainen,Kerrostalot,Kolmiot+,116.7,86
2018Q4,Vantaa,Kerrostalot,Yksiot,98.4,204
2018Q4,Vantaa,Kerrostalot,Kaksiot,100.3,153
2018Q4,Vantaa,Kerrostalot,Kolmiot+,102.1,102
2019Q1,Helsinki,Kerrostalot,Yksiot,110.8,77
2019Q1,Helsinki,Kerrostalot,Kaksiot,106.5,105
2019Q1,Helsinki,Kerrostalot,Kolmiot+,111.3,152
2019Q1,Espoo-Kauniainen,Kerrostalot,Yksiot,114.7,47
2019Q1,Espoo-Kauniainen,Kerrostalot,Kaksiot,117.3,78
2019Q1,Espoo-Kauniainen,Kerrostalot,Kolmiot+,116.5,79
2019Q1,Vantaa,Kerrostalot,Yksiot,100.8,64
2019Q1,Vantaa,Kerrostalot,Kaksiot,100.9,67
2019Q1,Vantaa,Kerrostalot,Kolmiot+,104.6,46
2019Q2,Helsinki,Kerrostalot,Yksiot,114.0,83
2019Q2,Helsinki,Kerrostalot,Kaksiot,109.7,117
2019Q2,Helsinki,Kerrostalot,Kolmiot+,116.5,138
2019Q2,Espoo-Kauniainen,Kerrostalot,Yksiot,123.6,101
2019Q2,Espoo-Kauniainen,Kerrostalot,Kaksiot,120.7,122
2019Q2,Espoo-Kauniainen,Kerrostalot,Kolmiot+,114.5,91
2019Q2,Vantaa,Kerrostalot,Yksiot,104.6,87
2019Q2,Vantaa,Kerrostalot,Kaksiot,102.5,67
2019Q2,Vantaa,Kerrostalot,Kolmiot+,104.7,45
2019Q3,Helsinki,Kerrostalot,Yksiot,114.7,126
2019Q3,Helsinki,Kerrostalot,Kaksiot,109.1,159
2019Q3,Helsinki,Kerrostalot,Kolmiot+,114.0,194
2019Q3,Espoo-Kauniainen,Kerrostalot,Yksiot,129.1,79
2019Q3,Espoo-Kauniainen,Kerrostalot,Kaksiot,122.1,93
2019Q3,Espoo-Kauniainen,Kerrostalot,Kolmiot+,120.0,92
2019Q3,Vantaa,Kerrostalot,Yksiot,97.6,119
2019Q3,Vantaa,Kerrostalot,Kaksiot,101.2,79
2019Q3,Vantaa,Kerrostalot,Kolmiot+,97.0,56
2019Q4,Helsinki,Kerrostalot,Yksiot,112.3,117
2019Q4,Helsinki,Kerrostalot,Kaksiot,113.5,191
2019Q4,Helsinki,Kerrostalot,Kolmiot+,121.8,193
2019Q4,Espoo-Kauniainen,Kerrostalot,Yksiot,129.4,88
2019Q4,Espoo-Kauniainen,Kerrostalot,Kaksiot,122.3,117
