Vuosineljannes,Alue,Huoneluku,Rahoitusmuoto,Indeksi,Vuokra_per_nelio
2015Q1,Helsinki,Yksiot,Vapaarahoitteinen,99.7,22.68
2015Q1,Helsinki,Kaksiot,Vapaarahoitteinen,99.7,15.77
2015Q1,Helsinki,Kolmiot+,Vapaarahoitteinen,99.8,14.69
2015Q1,Espoo-Kauniainen,Yksiot,Vapaarahoitteinen,99.3,19.39
2015Q1,Espoo-Kauniainen,Kaksiot,Vapaarahoitteinen,99.9,14.63
2015Q1,Espoo-Kauniainen,Kolmiot+,Vapaarahoitteinen,99.8,13.52
2015Q1,Vantaa,Yksiot,Vapaarahoitteinen,99.6,18.56
2015Q1,Vantaa,Kaksiot,Vapaarahoitteinen,99.6,14.73
2015Q1,Vantaa,Kolmiot+,Vapaarahoitteinen,99.6,13.83
2015Q2,Helsinki,Yksiot,Vapaarahoitteinen,99.9,22.87
2015Q2,Helsinki,Kaksiot,Vapaarahoitteinen,99.9,15.95
2015Q2,Helsinki,Kolmiot+,Vapaarahoitteinen,99.9,14.8
2015Q2,Espoo-Kauniainen,Yksiot,Vapaarahoitteinen,99.9,19.59
2015Q2,Espoo-Kauniainen,Kaksiot,Vapaarahoitteinen,99.7,14.79
2015Q2,Espoo-Kauniainen,Kolmiot+,Vapaarahoitteinen,99.7,13.77
2015Q2,Vantaa,Yksiot,Vapaarahoitteinen,99.9,18.68
2015Q2,Vantaa,Kaksiot,Vapaarahoitteinen,99.9,14.87
2015Q2,Vantaa,Kolmiot+,Vapaarahoitteinen,99.8,13.96
2015Q3,Helsinki,Yksiot,Vapaarahoitteinen,100.1,23.1
2015Q3,Helsinki,Kaksiot,Vapaarahoitteinen,100.1,16.12
2015Q3,Helsinki,Kolmiot+,Vapaarahoitteinen,100.0,14.85
2015Q3,Espoo-Kauniainen,Yksiot,Vapaarahoitteinen,100.3,19.92
2015Q3,Espoo-Kauniainen,Kaksiot,Vapaarahoitteinen,100.1,15.13
2015Q3,Espoo-Kauniainen,Kolmiot+,Vapaarahoitteinen,100.2,13.95
2015Q3,Vantaa,Yksiot,Vapaarahoitteinen,100.2,18.81
2015Q3,Vantaa,Kaksiot,Vapaarahoitteinen,100.1,14.93
2015Q3,Vantaa,Kolmiot+,Vapaarahoitteinen,100.2,14.13
2015Q4,Helsinki,Yksiot,Vapaarahoitteinen,100.3,23.23
2015Q4,Helsinki,Kaksiot,Vapaarahoitteinen,100.3,16.04
2015Q4,Helsinki,Kolmiot+,Vapaarahoitteinen,100.3,14.77
2015Q4,Espoo-Kauniainen,Yksiot,Vapaarahoitteinen,100.5,20.05
2015Q4,Espoo-Kauniainen,Kaksiot,Vapaarahoitteinen,100.3,15.01
2015Q4,Espoo-Kauniainen,Kolmiot+,Vapaarahoitteinen,100.3,13.87
2015Q4,Vantaa,Yksiot,Vapaarahoitteinen,100.3,18.88
2015Q4,Vantaa,Kaksiot,Vapaarahoitteinen,100.4,14.95
2015Q4,Vantaa,Kolmiot+,Vapaarahoitteinen,100.4,14.13
2016Q1,Helsinki,Yksiot,Vapaarahoitteinen,101.1,23.5
2016Q1,Helsinki,Kaksiot,Vapaarahoitteinen,101.4,16.4
2016Q1,Helsinki,Kolmiot+,Vapaarahoitteinen,101.5,15.26
2016Q1,Espoo-Kauniainen,Yksiot,Vapaarahoitteinen,102.0,20.41
2016Q1,Espoo-Kauniainen,Kaksiot,Vapaarahoitteinen,101.7,15.23
2016Q1,Espoo-Kauniainen,Kolmiot+,Vapaarahoitteinen,101.1,14.1
2016Q1,Vantaa,Yksiot,Vapaarahoitteinen,101.7,19.28
2016Q1,Vantaa,Kaksiot,Vapaarahoitteinen,101.9,15.21
2016Q1,Vantaa,Kolmiot+,Vapaarahoitteinen,101.8,14.34
2016Q2,Helsinki,Yksiot,Vapaarahoitteinen,101.5,23.68
2016Q2,Helsinki,Kaksiot,Vapaarahoitteinen,101.8,16.71
